gate_name	gate_suffix	block_size	partitions	ntro_partitions	threshold	prefix_time	gridsynth_time	ntro_time	control_dist	gridsynth_dist	ntro_dist	og_t	og_cliff	og_rz	gridsynth_t	gridsynth_cliff	int_rz	opt_t	opt_cliff	timestamp
qft2.npy		6	1	1	1e-05	2.209842561998812	7.504160336997302	1.9215619309979957	0.0	9.907905226190403e-06	0.0	0	19	24	458	746	0	3	40	2025-04-30T23:50:12.917830
qft3.npy		6	1	1	1e-05	2.767775532003725	12.034640773003048	6.38323719699838	1.4901161193847656e-08	5.004660971089203e-07	1.8239776083032775e-06	0	51	63	2271	3655	7	285	528	2025-04-30T23:50:36.727649
qft2.npy		6	1	1	1e-05	2.2128679899979034	3.6334758849989157	2.20895062800264	0.0	9.233911862867873e-07	0.0	0	24	30	1667	2585	0	3	51	2025-04-30T23:50:46.983953
qft3.npy		6	1	1	1e-05	4.906332949998614	12.897360479997587	9.34920373600471	0.0	0.0	2.729028782147685e-06	0	86	105	5820	9112	11	593	1063	2025-04-30T23:51:17.083262
qft2.npy		6	1	1	1e-05	2.142773251995095	9.071398013998987	1.973226310001337	0.0	8.826972973120145e-07	0.0	0	19	24	692	1109	0	3	39	2025-04-30T23:51:32.418041
qft3.npy		6	1	1	1e-05	2.9811819579990697	13.548225487000309	11.143345950993535	0.0	0.0	2.3601294369481807e-06	0	91	111	6194	9602	12	656	1203	2025-04-30T23:52:03.208760
qft2.npy		6	1	1	1e-05	2.1284316109959036	2.390353093003796	1.9903250419956748	0.0	1.1157975173904315e-06	0.0	0	19	24	696	1104	0	3	39	2025-04-30T23:52:11.874204
qft3.npy		6	1	1	1e-05	4.427763449995837	17.091898637001577	15.950957367997034	0.0	0.0	1.920111616592957e-06	0	111	135	8077	12537	8	342	764	2025-04-30T23:52:52.720123
qft2.npy		6	1	1	1e-05	2.1488455979997525	8.86362752399873	2.0109561400022358	2.9802322387695312e-08	9.21706384074218e-07	0.0	0	19	24	696	1119	0	3	40	2025-04-30T23:53:07.967353
qft3.npy		6	1	1	1e-05	3.156049556004291	13.756249749996641	5.958770431003359	0.0	0.0	1.8539823311562288e-06	0	56	69	2806	4371	12	600	997	2025-04-30T23:53:33.476762
qft2.npy		6	1	1	1e-05	2.1497798769996734	6.098284409999906	1.650558782996086	2.107342422785763e-08	8.448721867232625e-06	0.0	0	19	24	213	375	0	3	36	2025-04-30T23:53:45.471782
qft3.npy		6	1	1	1e-05	2.448165683003026	11.754252802995325	6.3262674390061875	0.0	5.274674302467065e-07	2.1421423401307155e-06	0	51	63	2163	3411	6	288	539	2025-04-30T23:54:08.485229
qft2.npy		6	1	1	1e-05	2.0367990340018878	6.2403650889973505	2.0330248679965734	2.5809568260370952e-08	8.906270844252588e-06	2.5809568279517847e-08	0	19	24	308	534	0	3	38	2025-04-30T23:54:20.846268
qft3.npy		6	1	1	1e-05	3.033776440002839	13.351123321001069	6.263058102995274	4.712160917019759e-08	0.0	9.731736070056014e-06	0	61	75	2438	3932	7	154	357	2025-04-30T23:54:46.070403
qft2.npy		6	1	1	1e-05	2.134911410998029	7.63462220600195	1.7927224090017262	0.0	5.457101453952494e-06	2.1073424255447017e-08	0	19	24	507	825	0	3	37	2025-04-30T23:54:59.737748
qft3.npy		6	1	1	1e-05	4.621846197995183	11.574136641000223	5.4951966629960225	0.0	3.538829710196828e-07	9.310590848123009e-06	0	51	63	2143	3419	7	205	418	2025-04-30T23:55:23.957738
